laser_white,infrared_white,actual_white,laser_red,infrared_red,actual_red,laser_dark_red,infrared_dark_red,actual_dark_red,laser_glowing_red,infrared_glowing_red,actual_glowing_red,laser_mirror,infrared_mirror,actual_mirror
99.48852098440992,99.15516177986274,0.0,99.87313934791501,99.81811508992799,-0.0028653295128939827,99.68013483090334,99.24466078851701,-0.0028653295128939827,99.76937448312512,99.64517343661136,-0.0028653295128939827,99.4413161244757,98.87648312097402,-0.0028653295128939827
99.208710338593,98.69282456052866,0.0028653295128939827,99.59090642275025,99.3477268614129,0.0,99.3979020378604,98.5390788523272,0.0,99.4871417139753,99.17478545378307,0.0,99.15908063612598,98.2981348213544,0.0
98.9286426532746,98.2296158580405,0.005730659025787966,99.30867349031578,98.87733861719596,0.0028653295128939827,99.11566926226622,97.8334969622985,0.0028653295128939827,99.20490892643973,98.70439744033818,0.0028653295128939827,98.8768451659404,97.7197865575623,0.0028653295128939827
98.64814746860019,97.76498423575491,0.008595988538681949,99.0264405483264,98.40695035388678,0.005730659025787966,98.83343650529345,97.12791512048344,0.005730659025787966,98.92267612034297,98.23400939660023,0.005730659025787966,98.59460971337214,97.14143832775619,0.005730659025787966
98.36730721546381,97.29920674363187,0.011461318051575933,98.74420759470844,97.93656206850493,0.008595988538681949,98.55120376775601,96.42233332800748,0.008595988538681949,98.64044329591265,97.76362132355287,0.008595988538681949,98.31237427746579,96.56309012929401,0.008595988538681949
98.08618975415004,96.83251042673623,0.014326647564469915,98.4619746276522,97.4661737585582,0.011461318051575933,98.26897105007852,95.71675158500956,0.011461318051575933,98.35821045378816,97.29323322284347,0.011461318051575933,98.03013885686372,95.98474195876031,0.011461318051575933
97.80484975763527,96.36507758981058,0.017191977077363897,98.17974164565963,96.9957854221132,0.014326647564469915,97.98673835227352,95.01116989060111,0.014326647564469915,98.07597759502073,96.82284509677237,0.014326647564469915,97.7479034498225,95.40639381201005,0.014326647564469915
97.52333121386681,95.89705451270825,0.020057306590257878,97.89750864758692,96.52539705785573,0.017191977077363897,97.70450567392712,94.30558824284687,0.017191977077363897,97.79374472106424,96.35245694826844,0.017191977077363897,97.46566805423807,94.82804568423127,0.017191977077363897
97.24166948009841,95.42855851931664,0.022922636103151862,97.61527563268021,96.05500866513962,0.020057306590257878,97.42227301419358,93.60000663876737,0.020057306590257878,97.5115118337573,95.88206878084942,0.020057306590257878,97.18343266767934,94.24969757002275,0.020057306590257878
96.95989295483892,94.95968367773243,0.025787965616045846,97.33304260060383,95.58462024402311,0.022922636103151862,97.14004037179909,92.89442507436426,0.022922636103151862,97.22927893529591,95.41168059856864,0.022922636103151862,96.90119728742982,93.67134946348648,0.022922636103151862
96.67802443377373,94.49050538978024,0.028653295128939826,97.05080955146039,95.11423179529066,0.025787965616045846,96.85780774505534,92.18884354466826,0.025787965616045846,96.94704602819809,94.94129240594904,0.025787965616045846,96.61896191053697,93.09300135833564,0.025787965616045846
96.39608220641442,94.02108408200277,0.03151862464183381,96.76857648580174,94.64384332046058,0.028653295128939826,96.57557513188183,91.48326204380912,0.028653295128939826,96.66481311526016,94.47090420790411,0.028653295128939826,96.3367265338673,92.51465324801123,0.028653295128939826
96.11408094119186,93.55146817134646,0.034383954154727794,96.48634340463074,94.17345482177694,0.03151862464183381,96.29334252983787,90.77768056510713,0.03151862464183381,96.38258019950607,94.00051600964957,0.03151862464183381,96.05449115416785,91.9363051258108,0.03151862464183381
95.83203239864079,93.08169644638016,0.03724928366762178,96.20411030939326,93.70306630218597,0.034383954154727794,96.01110993616287,90.07209910118456,0.034383954154727794,96.10034728413014,93.53012781660424,0.034383954154727794,95.77225576813095,91.35795698502179,0.034383954154727794
95.54994600533955,92.61179997817396,0.040114613180515755,95.92187720196048,93.2326777652971,0.03724928366762178,95.72887734782448,89.36651764409491,0.03724928366762178,95.81811437243508,93.05973963428545,0.03724928366762178,95.49002037246261,90.77960881906105,0.03724928366762178
95.26782931534015,92.14180365308205,0.04297994269340974,95.63964408460187,92.76228921532872,0.040114613180515755,95.44664476157429,88.66093618546802,0.040114613180515755,95.53588146776535,92.58935146819758,0.040114613180515755,95.20778496395202,90.20126062161336,0.040114613180515755
94.98568838086354,91.67172740183032,0.045845272206303724,95.35741095994871,92.29190065704006,0.04297994269340974,95.16441217400909,87.95535471666874,0.04297994269340974,95.25364857343833,92.11896332371884,0.04297994269340974,94.92554953954141,89.62291238677066,0.04297994269340974
94.70352804992936,91.20158718482952,0.04871060171919771,95.07517783094916,91.82151209564925,0.045845272206303724,94.88217958163733,87.2497732289649,0.045845272206303724,94.97141569267399,91.6485752059868,0.045845272206303724,94.64331409639455,89.04456410916559,0.045845272206303724
94.4213522052154,90.73139578190732,0.05157593123209169,94.79294470081537,91.35112353673996,0.04871060171919771,94.59994698094933,86.544191713703,0.04871060171919771,94.6891828285247,91.17818711978522,0.04871060171919771,94.36107863196226,88.46621578409787,0.04871060171919771
94.13916395568674,90.26116342518753,0.054441260744985676,94.51071157296379,90.88073498615769,0.05157593123209169,94.31771436848929,85.83861016248649,0.05157593123209169,94.40694998380673,90.70779906943577,0.05157593123209169,94.07884314404359,87.88786740765026,0.05157593123209169
93.85696579029383,89.79089830621092,0.05730659025787965,94.22847845094932,90.4103464498976,0.054441260744985676,94.03548174092863,85.1330285673542,0.054441260744985676,94.12471716103474,90.23741105869522,0.054441260744985676,93.79660763084188,87.30951897679239,0.054441260744985676
