left_force,right_force,sum_force
0.000000,68.340818,68.340818
0.000000,67.840778,67.840778
0.000000,81.714351,81.714351
0.000000,68.793748,68.793748
0.000000,69.111301,69.111301
0.000000,68.421321,68.421321
0.000000,68.544588,68.544588
0.000000,68.523976,68.523976
0.000000,74.292040,74.292040
0.000000,71.951549,71.951549
0.000000,68.752388,68.752388
0.000000,68.659083,68.659083
0.000000,68.862337,68.862337
0.000000,68.559628,68.559628
0.000000,68.226562,68.226562
0.000000,67.839955,67.839955
0.000000,67.651791,67.651791
0.000000,67.176317,67.176317
0.000000,66.719605,66.719605
108.549513,0.000000,108.549513
66.587214,0.000000,66.587214
67.928030,0.000000,67.928030
68.402146,0.000000,68.402146
68.569285,0.000000,68.569285
68.498381,0.000000,68.498381
68.222215,0.000000,68.222215
67.667377,0.000000,67.667377
82.628365,0.000000,82.628365
68.043615,0.000000,68.043615
68.771666,0.000000,68.771666
68.563523,0.000000,68.563523
68.624292,0.000000,68.624292
68.684611,0.000000,68.684611
68.619975,0.000000,68.619975
67.903038,0.000000,67.903038
68.645750,0.000000,68.645750
66.860081,0.000000,66.860081
67.358794,0.000000,67.358794
66.408750,0.000000,66.408750
66.610298,0.000000,66.610298
67.329814,0.000000,67.329814
67.477521,0.000000,67.477521
0.000000,93.013269,93.013269
0.000000,78.176411,78.176411
0.000000,67.835936,67.835936
0.000000,68.226357,68.226357
0.000000,68.524459,68.524459
0.000000,68.571971,68.571971
0.000000,68.366449,68.366449
0.000000,67.864967,67.864967
0.000000,80.772784,80.772784
0.000000,74.411043,74.411043
0.000000,68.842035,68.842035
0.000000,68.631146,68.631146
0.000000,68.602506,68.602506
